Date,Close,High,Low,Open,Volume
1/2/2018,9.77,11.07,9.52,10.95,0
1/3/2018,9.15,9.65,8.94,9.56,0
1/4/2018,9.22,9.31,8.92,09.01,0
1/5/2018,9.22,9.54,9,9.1,0
1/8/2018,9.52,9.89,9.32,9.61,0
1/9/2018,10.08,10.09,9.37,9.41,0
1/10/2018,9.82,10.85,9.82,10.11,0
1/11/2018,9.88,10.02,9.62,9.69,0
1/12/2018,10.16,10.31,9.54,9.74,0
1/16/2018,11.66,12.41,10.4,10.42,0
1/17/2018,11.91,12.81,11.18,11.35,0
1/18/2018,12.22,12.4,11.62,12.01,0
1/19/2018,11.27,12.33,11.18,12.3,0
1/22/2018,11.03,11.62,10.84,11.59,0
1/23/2018,11.1,11.57,10.76,10.77,0
1/24/2018,11.47,12.19,10.89,11,0
1/25/2018,11.58,12.01,11.2,11.27,0
1/26/2018,11.08,11.6,11.08,11.4,0
1/29/2018,13.84,13.84,11.68,11.71,0
1/30/2018,14.79,15.42,13.88,13.93,0
1/31/2018,13.54,14.44,13.41,14.23,0
2/1/2018,13.47,14.3,12.5,13.05,0
2/2/2018,17.31,17.86,13.64,13.64,0
2/5/2018,37.32,38.8,16.8,18.44,0
2/6/2018,29.98,50.3,22.42,37.32,0
2/7/2018,27.73,31.64,21.17,31.38,0
2/8/2018,33.46,36.17,24.41,27.29,0
2/9/2018,29.06,41.06,27.73,32.18,0
2/12/2018,25.61,29.7,24.42,27.25,0
2/13/2018,24.97,27.82,24.47,26.94,0
2/14/2018,19.26,25.72,18.99,23.48,0
2/15/2018,19.13,20.66,17.6,18.39,0
2/16/2018,19.46,20.99,17.44,18.74,0
2/20/2018,20.6,21.61,19.75,20.53,0
2/21/2018,20.02,21.04,16.97,20.76,0
2/22/2018,18.72,20.61,18.07,20.57,0
2/23/2018,16.49,18.8,16.47,17.96,0
2/26/2018,15.8,16.94,15.8,16.53,0
2/27/2018,18.59,18.98,15.29,15.83,0
2/28/2018,19.85,20.44,15.65,18.08,0
3/1/2018,22.47,25.3,19.57,19.96,0
3/2/2018,19.59,26.22,19.36,22.47,0
3/5/2018,18.73,21.57,17.94,21.55,0
3/6/2018,18.36,19.64,17.68,18.25,0
3/7/2018,17.76,20.49,17.52,20.11,0
3/8/2018,16.54,17.68,14.91,17.56,0
3/9/2018,14.64,16.75,13.31,16.41,0
3/12/2018,15.78,16.35,15.18,15.28,0
3/13/2018,16.35,16.98,15.03,15.7,0
3/14/2018,17.23,17.59,14.94,16.59,0
3/15/2018,16.59,17.41,15.96,16.99,0
3/16/2018,15.8,16.72,15.23,16.6,0
3/19/2018,19.02,21.87,16.56,16.63,0
3/20/2018,18.2,19.31,18.09,18.38,0
3/21/2018,17.86,18.37,16.26,17.76,0
3/22/2018,23.34,23.81,18.12,18.13,0
3/23/2018,24.87,26.01,21.63,24.02,0
3/26/2018,21.03,24.54,20.71,23.41,0
3/27/2018,22.5,24.06,19.84,20.33,0
3/28/2018,22.87,24.94,21.71,22.52,0
3/29/2018,19.97,23.05,19.6,22.87,0
4/2/2018,23.62,25.72,20.44,21.07,0
4/3/2018,21.1,23.38,20.92,23.03,0
4/4/2018,20.06,24.51,19.86,21.68,0
4/5/2018,18.94,20.21,18.57,19.76,0
4/6/2018,21.49,23.12,18.6,20.33,0
4/9/2018,21.77,22.02,20.34,21.27,0
4/10/2018,20.47,21.68,20.24,20.51,0
4/11/2018,20.24,21.66,19.64,20.95,0
4/12/2018,18.49,19.92,18.16,19.83,0
4/13/2018,17.41,18.45,17.26,18.27,0
4/16/2018,16.56,17.66,16.38,17.59,0
4/17/2018,15.25,16.27,14.57,16.16,0
4/18/2018,15.6,16.9,14.95,15.3,0
4/19/2018,15.96,16.92,15.16,15.55,0
4/20/2018,16.88,17.5,15.19,16.16,0
4/23/2018,16.34,17.56,15.79,17.29,0
4/24/2018,18.02,19.66,15.37,16.16,0
4/25/2018,17.84,19.84,17.75,18.14,0
4/26/2018,16.24,18.12,16.24,18.07,0
4/27/2018,15.41,16.77,15.25,16.22,0
4/30/2018,15.93,16.35,15.13,15.31,0
5/1/2018,15.49,16.82,15.42,16,0
5/2/2018,15.97,15.97,14.75,15.48,0
5/3/2018,15.9,18.66,15.43,15.78,0
5/4/2018,14.77,16.92,10.91,15.94,0
5/7/2018,14.75,15.27,14.51,15.05,0
5/8/2018,14.71,15.56,14.52,14.53,0
5/9/2018,13.42,14.63,13.38,14.54,0
5/10/2018,13.23,13.63,12.92,13.36,0
5/11/2018,12.65,13.44,12.65,13.22,0
5/14/2018,12.93,13.28,12.81,13.09,0
5/15/2018,14.63,15.01,12.5,13.13,0
5/16/2018,13.42,14.91,13.21,14.38,0
5/17/2018,13.43,13.86,12.65,13.54,0
5/18/2018,13.42,13.87,13.06,13.18,0
5/21/2018,13.08,13.59,12.78,12.99,0
5/22/2018,13.22,13.42,12.77,13.03,0
5/23/2018,12.58,14.6,12.49,13.5,0
5/24/2018,12.53,14.24,12.53,12.73,0
5/25/2018,13.22,13.52,12.29,12.44,0
5/29/2018,17.02,18.78,14.39,14.39,0
5/30/2018,14.94,16.64,14.65,16.6,0
5/31/2018,15.43,16.29,14.2,14.93,0
6/1/2018,13.46,14.93,13.37,14.92,0
6/4/2018,12.74,13.91,12.69,13.91,0
6/5/2018,12.4,13.34,12.3,12.91,0
6/6/2018,11.64,12.56,11.62,12.1,0
6/7/2018,12.13,13.28,11.22,11.66,0
6/8/2018,12.18,13.31,12.09,12.54,0
6/11/2018,12.35,12.69,12.14,12.52,0
6/12/2018,12.34,12.6,11.88,12.29,0
6/13/2018,12.94,12.95,11.98,12.13,0
6/14/2018,12.12,13.07,11.88,12.98,0
6/15/2018,11.98,13.16,11.93,12.19,0
6/18/2018,12.31,13.74,12.28,12.79,0
6/19/2018,13.35,14.68,13.21,14.61,0
6/20/2018,12.79,13.02,12.25,12.9,0
